Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings,Record Number
0.39,0.295,0.095,0.203,0.0875,0.045,0.075,7,4725
0.47,0.37,0.12,0.5795,0.293,0.227,0.14,9,170
0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7,958
0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,6,2739
0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,9,3886
0.52,0.41,0.12,0.595,0.2385,0.111,0.19,8,2432
0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7,4089
0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,10,329
0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10,414
0.405,0.31,0.1,0.385,0.173,0.0915,0.11,7,3595
0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,8,2500
0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8,1181
0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8,1152
0.245,0.19,0.06,0.086,0.042,0.014,0.025,4,1371
0.505,0.4,0.125,0.583,0.246,0.13,0.175,7,4846
0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7,2230
0.505,0.405,0.11,0.625,0.305,0.16,0.175,9,2203
0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,10,1044
0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7,2554
0.52,0.4,0.12,0.58,0.234,0.1315,0.185,8,4318
0.475,0.355,0.12,0.48,0.234,0.1015,0.135,8,4895
0.565,0.44,0.16,0.915,0.354,0.1935,0.32,12,2581
0.595,0.495,0.185,1.285,0.416,0.224,0.485,13,4454
0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,10,3346
0.31,0.235,0.07,0.151,0.063,0.0405,0.045,6,1704
0.555,0.425,0.13,0.7665,0.264,0.168,0.275,13,4237
0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,8,3550
0.595,0.475,0.17,1.247,0.48,0.225,0.425,20,538
0.57,0.48,0.175,1.185,0.474,0.261,0.38,11,4700
0.605,0.45,0.195,1.098,0.481,0.2895,0.315,13,3390
0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,15,1595
0.595,0.475,0.14,0.944,0.3625,0.189,0.315,9,148
0.6,0.47,0.15,0.922,0.363,0.194,0.305,10,3219
0.555,0.425,0.14,0.788,0.282,0.1595,0.285,11,3803
0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,14,4052
0.575,0.445,0.14,0.941,0.3845,0.252,0.285,9,4260
0.62,0.51,0.175,1.615,0.5105,0.192,0.675,12,914
0.52,0.425,0.165,0.9885,0.396,0.225,0.32,16,862
0.595,0.475,0.16,1.3175,0.408,0.234,0.58,21,2375
0.58,0.45,0.14,1.013,0.38,0.216,0.36,14,3832
0.57,0.465,0.18,1.295,0.339,0.2225,0.44,12,2790
0.625,0.465,0.14,1.195,0.4825,0.205,0.4,13,2957
0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26,10,2759
0.46,0.355,0.13,0.517,0.2205,0.114,0.165,9,4352
0.575,0.45,0.16,0.9775,0.3135,0.231,0.33,12,2770
0.565,0.425,0.135,0.8115,0.341,0.1675,0.255,15,4213
0.555,0.44,0.15,0.755,0.307,0.1525,0.26,12,1188
0.595,0.465,0.175,1.115,0.4015,0.254,0.39,13,2703
0.625,0.495,0.165,1.262,0.507,0.318,0.39,10,3599
0.695,0.56,0.19,1.494,0.588,0.3425,0.485,15,3492
0.665,0.535,0.195,1.606,0.5755,0.388,0.48,14,3998
0.535,0.435,0.15,0.725,0.269,0.1385,0.25,9,705
0.47,0.375,0.13,0.523,0.214,0.132,0.145,8,3723
0.47,0.37,0.13,0.5225,0.201,0.133,0.165,7,1707
0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,10,2496
0.36,0.265,0.095,0.2315,0.105,0.046,0.075,7,1415
0.55,0.435,0.145,0.843,0.328,0.1915,0.255,15,2102
0.53,0.435,0.16,0.883,0.316,0.164,0.335,15,3828
0.53,0.415,0.14,0.724,0.3105,0.1675,0.205,10,2434
0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,12,4838
0.52,0.41,0.155,0.727,0.291,0.1835,0.235,12,2633
0.545,0.43,0.165,0.802,0.2935,0.183,0.28,11,3142
0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,10,2824
0.51,0.39,0.135,0.6335,0.231,0.179,0.2,9,1372
0.435,0.395,0.105,0.3635,0.136,0.098,0.13,9,752
0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,9,3101
0.465,0.36,0.105,0.431,0.172,0.107,0.175,9,3244
0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105,9,3381
0.425,0.35,0.105,0.393,0.13,0.063,0.165,9,1697
0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,11,4992
0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,11,43
0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,11,3720
0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,10,3939
0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,9,2894
0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085,8,2819
0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9,2497
0.385,0.295,0.085,0.2535,0.103,0.0575,0.085,7,1329
0.515,0.425,0.14,0.766,0.304,0.1725,0.255,14,3316
0.37,0.265,0.075,0.214,0.09,0.051,0.07,6,2432
0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,6,1942
0.27,0.195,0.06,0.073,0.0285,0.0235,0.03,5,2904
0.375,0.275,0.09,0.238,0.1075,0.0545,0.07,6,1962
0.385,0.29,0.085,0.2505,0.112,0.061,0.08,8,4367
0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,19,2387
0.71,0.54,0.165,1.959,0.7665,0.261,0.78,18,1069
0.595,0.48,0.165,1.262,0.4835,0.283,0.41,17,2135
0.44,0.35,0.125,0.4035,0.175,0.063,0.129,9,2032
0.325,0.26,0.09,0.1915,0.085,0.036,0.062,7,2795
0.35,0.26,0.095,0.211,0.086,0.056,0.068,7,3954
0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,7,1073
0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,8,936
0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,7,1078
0.345,0.255,0.09,0.2005,0.094,0.0295,0.063,9,2674
0.405,0.325,0.11,0.3555,0.151,0.063,0.117,9,340
0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,9,2262
0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,10,2305
0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,10,3262
0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,16,597
0.56,0.455,0.155,0.797,0.34,0.19,0.2425,11,1904
0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,10,2234
0.49,0.38,0.125,0.549,0.245,0.1075,0.174,10,4966
0.46,0.35,0.12,0.515,0.224,0.108,0.1565,10,2262
0.28,0.205,0.08,0.127,0.052,0.039,0.042,9,4023
0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125,5,4647
0.17,0.13,0.095,0.03,0.013,0.008,0.01,4,2477
0.59,0.475,0.145,1.053,0.4415,0.262,0.325,15,2137
0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,9,747
0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,10,2541
0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,10,1423
0.565,0.45,0.135,0.9885,0.387,0.1495,0.31,12,4962
0.515,0.405,0.13,0.722,0.32,0.131,0.21,10,2579
0.575,0.46,0.19,0.994,0.392,0.2425,0.34,13,3686
0.645,0.485,0.215,1.514,0.546,0.2615,0.635,16,3153
0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,13,1590
0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,13,473
0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,13,3674
0.605,0.485,0.16,1.222,0.53,0.2575,0.28,13,4429
0.61,0.485,0.175,1.2445,0.544,0.297,0.345,12,722
0.725,0.56,0.21,2.141,0.65,0.398,1.005,18,3623
0.65,0.545,0.23,1.752,0.5605,0.2895,0.815,16,204
0.725,0.57,0.19,2.55,1.0705,0.483,0.725,14,4379
0.725,0.575,0.175,2.124,0.765,0.4515,0.85,20,1852
0.68,0.57,0.205,1.842,0.625,0.408,0.65,20,2092
0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,14,3571
0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,12,3305
0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,14,4218
0.53,0.395,0.145,0.775,0.308,0.169,0.255,7,921
0.525,0.435,0.155,1.065,0.486,0.233,0.285,8,1227
0.52,0.405,0.115,0.776,0.32,0.1845,0.22,8,235
0.235,0.16,0.04,0.048,0.0185,0.018,0.015,5,2979
0.36,0.26,0.09,0.1785,0.0645,0.037,0.075,7,3483
0.315,0.21,0.06,0.125,0.06,0.0375,0.035,5,4364
0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,8,805
0.225,0.16,0.045,0.0465,0.025,0.015,0.015,4,1910
0.58,0.475,0.15,0.97,0.385,0.2165,0.35,11,2090
0.57,0.48,0.18,0.9395,0.399,0.2,0.295,14,3861
0.64,0.51,0.175,1.368,0.515,0.266,0.57,21,877
0.56,0.45,0.16,1.0235,0.429,0.268,0.3,10,2165
0.62,0.475,0.175,1.0165,0.4355,0.214,0.325,10,1709
0.645,0.51,0.2,1.5675,0.621,0.367,0.46,12,1220
0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,13,4678
0.63,0.48,0.15,1.0525,0.392,0.336,0.285,12,216
0.63,0.5,0.185,1.383,0.54,0.3315,0.38,10,4375
0.63,0.48,0.16,1.199,0.5265,0.335,0.315,11,2572
0.585,0.46,0.17,0.9325,0.365,0.271,0.29,9,1307
0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325,13,2768
0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,12,3369
0.58,0.45,0.15,0.927,0.276,0.1815,0.36,14,924
0.355,0.275,0.085,0.22,0.092,0.06,0.15,8,167
0.51,0.4,0.14,0.8145,0.459,0.1965,0.195,10,2113
0.5,0.405,0.155,0.772,0.346,0.1535,0.245,12,142
0.505,0.41,0.15,0.644,0.285,0.145,0.21,11,1615
0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,16,2094
0.56,0.45,0.16,0.922,0.432,0.178,0.26,15,2499
0.585,0.46,0.185,0.922,0.3635,0.213,0.285,10,3592
0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,9,294
0.5,0.4,0.165,0.825,0.254,0.205,0.285,13,3964
0.5,0.4,0.145,0.63,0.234,0.1465,0.23,12,4499
0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,13,575
0.42,0.335,0.115,0.369,0.171,0.071,0.12,8,3607
0.44,0.34,0.14,0.482,0.186,0.1085,0.16,9,2759
0.4,0.3,0.11,0.315,0.109,0.067,0.12,9,1633
0.435,0.34,0.11,0.3795,0.1495,0.085,0.12,8,2375
0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,13,3914
0.37,0.28,0.095,0.2655,0.122,0.052,0.08,7,4567
0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10,2508
0.335,0.25,0.09,0.181,0.0755,0.0415,0.06,7,1911
0.415,0.325,0.105,0.38,0.1595,0.0785,0.12,12,3745
0.5,0.405,0.14,0.6155,0.241,0.1355,0.205,9,2795
0.485,0.395,0.16,0.66,0.2475,0.128,0.235,14,2393
0.55,0.405,0.14,0.8025,0.244,0.1635,0.255,10,1358
0.45,0.35,0.13,0.46,0.174,0.111,0.135,8,185
0.405,0.3,0.12,0.324,0.1265,0.07,0.11,7,3038
0.47,0.36,0.135,0.501,0.1665,0.115,0.165,10,18
0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,8,4537
0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,9,2764
0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,11,162
0.49,0.375,0.15,0.5755,0.22,0.144,0.19,9,4789
0.445,0.355,0.15,0.485,0.181,0.125,0.155,11,2020
0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1,10,3758
0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,9,4568
0.39,0.29,0.125,0.3055,0.121,0.082,0.09,7,1772
0.365,0.27,0.085,0.205,0.078,0.0485,0.07,7,4784
0.58,0.465,0.165,1.1015,0.404,0.2095,0.35,11,977
0.53,0.415,0.16,0.783,0.2935,0.158,0.245,15,1960
0.555,0.445,0.135,0.836,0.336,0.1625,0.275,13,2315
0.565,0.44,0.175,0.9025,0.31,0.193,0.325,14,4535
0.625,0.505,0.215,1.4455,0.496,0.287,0.435,22,2314
0.275,0.215,0.075,0.1155,0.0485,0.029,0.035,7,2017
0.44,0.35,0.135,0.435,0.1815,0.083,0.125,12,4114
0.295,0.225,0.08,0.124,0.0485,0.032,0.04,9,1417
0.075,0.055,0.01,0.002,0.001,0.0005,0.0015,1,2854
0.13,0.1,0.03,0.013,0.0045,0.003,0.004,3,4859
0.11,0.09,0.03,0.008,0.0025,0.002,0.003,3,203
0.16,0.12,0.035,0.021,0.0075,0.0045,0.005,5,4072
0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,17,2916
0.27,0.2,0.07,0.1,0.034,0.0245,0.035,5,957
0.23,0.175,0.065,0.0645,0.026,0.0105,0.02,5,2896
0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,8,3416
0.33,0.255,0.085,0.1655,0.063,0.039,0.06,8,4281
0.35,0.26,0.085,0.174,0.0705,0.0345,0.06,10,2221
0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05,13,3293
0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,9,4566
0.305,0.245,0.075,0.156,0.0675,0.038,0.045,7,3758
0.345,0.27,0.11,0.2135,0.082,0.0545,0.07,7,3313
0.33,0.25,0.105,0.1715,0.0655,0.035,0.06,7,2492
0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,13,4382
0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,12,3346
0.575,0.46,0.185,1.094,0.4485,0.217,0.345,15,3721
0.6,0.495,0.165,1.2415,0.485,0.2775,0.34,15,4400
0.56,0.45,0.175,1.011,0.3835,0.2065,0.37,15,1617
0.56,0.45,0.185,1.07,0.3805,0.175,0.41,19,1912
0.545,0.46,0.16,0.8975,0.341,0.1655,0.345,10,2746
0.635,0.505,0.17,1.415,0.605,0.297,0.365,15,223
0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,13,4424
0.54,0.475,0.155,0.928,0.394,0.194,0.26,11,2580
0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,12,1698
0.53,0.42,0.165,0.8945,0.319,0.239,0.245,11,1691
0.245,0.195,0.06,0.095,0.0445,0.0245,0.026,4,1529
0.27,0.2,0.08,0.1205,0.0465,0.028,0.04,6,2627
0.46,0.38,0.13,0.639,0.3,0.1525,0.16,11,556
0.52,0.45,0.15,0.895,0.3615,0.186,0.235,14,3386
0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905,8,1249
0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,9,2565
0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,13,4201
0.64,0.525,0.215,1.779,0.4535,0.2855,0.55,22,4786
0.59,0.5,0.2,1.187,0.412,0.2705,0.37,16,4530
0.62,0.485,0.205,1.219,0.3875,0.2505,0.385,14,693
0.63,0.505,0.225,1.525,0.56,0.3335,0.45,15,4651
0.63,0.515,0.155,1.259,0.4105,0.197,0.41,13,4543
0.655,0.54,0.215,1.844,0.7425,0.327,0.585,22,718
0.66,0.53,0.185,1.3485,0.493,0.245,0.49,12,3190
0.61,0.5,0.24,1.642,0.532,0.3345,0.69,18,221
0.635,0.525,0.205,1.484,0.55,0.3115,0.43,20,1441
0.515,0.425,0.135,0.712,0.2665,0.1605,0.25,11,2534
0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,15,4011
0.36,0.285,0.105,0.2415,0.0915,0.057,0.075,7,2269
0.455,0.355,0.12,0.4495,0.177,0.104,0.15,9,4350
0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,14,2414
0.515,0.38,0.175,0.9565,0.325,0.158,0.31,14,4737
0.535,0.415,0.17,0.879,0.295,0.1965,0.285,10,3385
0.53,0.435,0.155,0.699,0.288,0.1595,0.205,10,2881
0.495,0.4,0.155,0.6445,0.242,0.1325,0.205,17,1212
0.44,0.355,0.125,0.4775,0.132,0.0815,0.19,9,1316
0.535,0.435,0.16,0.8105,0.3155,0.1795,0.24,10,4628
0.54,0.435,0.18,0.996,0.3835,0.226,0.325,17,4642
0.565,0.505,0.21,1.2765,0.501,0.279,0.355,12,747
0.61,0.475,0.165,1.116,0.428,0.2205,0.315,15,3581
0.565,0.455,0.175,1.013,0.342,0.207,0.35,19,1353
0.6,0.495,0.195,1.0575,0.384,0.19,0.375,26,4395
0.295,0.215,0.085,0.128,0.049,0.034,0.04,6,4324
0.275,0.205,0.075,0.1105,0.045,0.0285,0.035,6,2877
0.28,0.21,0.085,0.1065,0.039,0.0295,0.03,4,591
0.49,0.395,0.14,0.549,0.2215,0.1275,0.15,11,2734
0.37,0.28,0.105,0.234,0.0905,0.0585,0.075,9,4727
0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1,9,380
0.54,0.435,0.175,0.892,0.322,0.174,0.335,13,3413
0.37,0.28,0.1,0.252,0.1065,0.0595,0.074,8,4286
0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715,6,375
0.47,0.36,0.13,0.472,0.182,0.114,0.15,10,2049
0.2,0.145,0.06,0.037,0.0125,0.0095,0.011,4,3456
0.165,0.12,0.03,0.0215,0.007,0.005,0.005,3,3864
0.645,0.515,0.24,1.5415,0.471,0.369,0.535,13,4411
0.55,0.41,0.125,0.7605,0.2505,0.1635,0.195,14,3483
0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275,10,4642
0.63,0.485,0.19,1.2435,0.4635,0.3055,0.39,21,4819
0.56,0.44,0.14,0.971,0.443,0.2045,0.265,14,1888
0.595,0.455,0.195,1.3305,0.4595,0.3235,0.345,19,3568
0.62,0.47,0.2,1.2255,0.381,0.27,0.435,23,3478
0.63,0.485,0.175,1.3,0.4335,0.2945,0.46,23,3874
0.45,0.355,0.11,0.4585,0.194,0.067,0.14,8,4999
0.635,0.535,0.19,1.242,0.576,0.2475,0.39,14,614
0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12,10,3818
0.58,0.455,0.155,0.8365,0.315,0.1385,0.32,18,1063
0.33,0.255,0.095,0.172,0.066,0.0255,0.06,6,2743
0.265,0.21,0.06,0.0965,0.0425,0.022,0.03,5,481
0.19,0.145,0.04,0.038,0.0165,0.0065,0.015,4,4908
0.385,0.31,0.1,0.2845,0.1065,0.075,0.1,11,193
0.265,0.205,0.07,0.1055,0.039,0.041,0.035,5,2641
0.335,0.265,0.105,0.222,0.0935,0.056,0.075,7,3607
0.355,0.275,0.09,0.251,0.097,0.053,0.08,7,1931
0.32,0.255,0.1,0.1755,0.073,0.0415,0.065,7,4194
0.51,0.4,0.13,0.6435,0.27,0.1665,0.205,12,3446
0.36,0.295,0.105,0.241,0.0865,0.053,0.095,8,2110
0.36,0.28,0.09,0.2255,0.0885,0.04,0.09,8,2466
0.5,0.38,0.155,0.5955,0.2135,0.161,0.2,12,122
0.4,0.325,0.12,0.3185,0.134,0.0565,0.095,8,1478
0.3,0.22,0.08,0.121,0.0475,0.042,0.035,5,1240
0.235,0.175,0.04,0.0705,0.0335,0.015,0.02,5,2497
0.74,0.6,0.195,1.974,0.598,0.4085,0.71,16,1104
0.62,0.465,0.19,1.3415,0.5705,0.3175,0.355,11,4139
0.6,0.475,0.19,1.0875,0.403,0.2655,0.325,14,486
0.59,0.45,0.185,1.283,0.473,0.276,0.425,16,992
0.62,0.475,0.185,1.325,0.6045,0.325,0.33,13,520
0.565,0.45,0.195,1.0035,0.406,0.2505,0.285,15,4008
0.575,0.455,0.145,1.165,0.581,0.2275,0.3,14,979
0.62,0.51,0.205,1.3475,0.4775,0.2565,0.48,14,3236
0.62,0.465,0.185,1.274,0.579,0.3065,0.32,12,3628
0.505,0.375,0.18,0.568,0.2325,0.1495,0.17,12,3914
0.46,0.425,0.155,0.746,0.3005,0.152,0.24,8,3730
0.49,0.39,0.14,0.707,0.2795,0.2185,0.18,13,1156
0.525,0.42,0.16,0.756,0.2745,0.173,0.275,9,2778
0.34,0.26,0.08,0.2,0.08,0.0555,0.055,6,3261
0.375,0.305,0.115,0.2715,0.092,0.074,0.09,8,4212
0.61,0.48,0.15,1.2,0.56,0.2455,0.28,14,4695
0.61,0.495,0.185,1.153,0.536,0.2905,0.245,8,1361
0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,22,2492
0.57,0.46,0.14,0.9535,0.4465,0.2065,0.245,12,3643
0.58,0.455,0.17,0.93,0.408,0.259,0.22,9,2572
0.635,0.515,0.17,1.275,0.509,0.286,0.34,16,313
0.7,0.58,0.205,2.13,0.7415,0.49,0.58,20,4299
0.675,0.525,0.185,1.587,0.6935,0.336,0.395,13,30
0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,18,3773
0.745,0.585,0.215,2.499,0.9265,0.472,0.7,17,2353
0.685,0.545,0.18,1.768,0.7495,0.392,0.485,16,765
0.605,0.49,0.18,1.227,0.48,0.287,0.35,18,1824
0.59,0.465,0.15,0.997,0.392,0.246,0.34,12,3128
0.65,0.525,0.175,1.4225,0.61,0.2995,0.445,20,3970
0.6,0.48,0.15,1.029,0.4085,0.2705,0.295,16,3201
0.62,0.5,0.175,1.186,0.4985,0.3015,0.35,12,4585
0.63,0.515,0.16,1.016,0.4215,0.244,0.355,19,3607
0.58,0.465,0.145,0.887,0.4405,0.1655,0.265,11,2286
0.58,0.455,0.12,1.0735,0.479,0.2735,0.265,10,1001
0.63,0.49,0.18,1.13,0.458,0.2765,0.315,12,3931
0.69,0.56,0.215,1.719,0.68,0.299,0.47,17,202
0.65,0.545,0.165,1.566,0.6645,0.3455,0.415,16,4003
0.66,0.565,0.195,1.7605,0.692,0.3265,0.5,16,2908
0.68,0.58,0.2,1.787,0.585,0.453,0.6,19,3087
0.7,0.575,0.17,1.31,0.5095,0.314,0.42,14,725
0.685,0.52,0.15,1.343,0.4635,0.292,0.4,13,3215
0.675,0.545,0.195,1.7345,0.6845,0.3695,0.605,20,508
0.63,0.49,0.19,1.1775,0.4935,0.3365,0.285,11,867
0.585,0.45,0.16,1.077,0.4995,0.2875,0.25,10,3506
0.565,0.465,0.175,0.995,0.3895,0.183,0.37,15,2733
0.61,0.495,0.185,1.1085,0.3705,0.3135,0.33,12,4807
0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385,15,304
0.535,0.42,0.145,0.791,0.33,0.189,0.25,10,3004
0.485,0.4,0.135,0.663,0.313,0.137,0.2,10,2300
0.47,0.375,0.12,0.5565,0.226,0.122,0.195,12,2832
0.545,0.425,0.135,0.8445,0.373,0.21,0.235,10,259
0.455,0.37,0.105,0.4925,0.216,0.1245,0.135,9,4995
0.54,0.42,0.155,0.7385,0.3515,0.152,0.215,12,3519
0.46,0.38,0.135,0.482,0.207,0.1225,0.145,10,108
0.49,0.42,0.125,0.609,0.239,0.1435,0.22,14,1356
0.465,0.375,0.12,0.471,0.222,0.119,0.14,9,1477
0.415,0.325,0.1,0.3215,0.1535,0.0595,0.105,10,721
0.475,0.375,0.125,0.593,0.277,0.115,0.18,10,1420
0.47,0.375,0.125,0.5615,0.252,0.137,0.18,10,890
0.365,0.295,0.095,0.25,0.1075,0.0545,0.08,9,4060
0.345,0.275,0.095,0.1995,0.0755,0.0535,0.07,6,1076
0.39,0.31,0.1,0.302,0.116,0.064,0.115,11,557
0.5,0.395,0.14,0.7155,0.3165,0.176,0.24,10,3281
0.47,0.38,0.145,0.5865,0.2385,0.144,0.185,8,3487
0.535,0.44,0.15,0.6765,0.256,0.139,0.26,12,586
0.585,0.455,0.15,0.987,0.4355,0.2075,0.31,11,1693
0.485,0.365,0.12,0.5885,0.27,0.131,0.175,9,3071
0.515,0.455,0.135,0.7225,0.295,0.1625,0.235,9,2075
0.435,0.325,0.11,0.4335,0.178,0.0985,0.155,7,4630
0.515,0.415,0.14,0.6935,0.3115,0.152,0.2,10,1024
0.44,0.345,0.12,0.365,0.1655,0.083,0.11,7,1698
