Employee ID,Gender,Age,Department,Job Role,Position Level,Location,Manager ID,Hire Date,Years At Company,Years In Role,Annual Salary,Bonus Percent,Performance Rating,Productivity Index,Quality Score,Engagement Score,Satisfaction Score,Work Life Balance Score,Training Hours,Certification Count,Promoted Last 3 Years Description,Special Projects Count,Absence Days,Attrition Flag,Termination Date,Termination Reason,Active Employee Flag,Tenure Bucket,Inactive Employee Flag,PromotionLast3Yrs
EMP302A00,Female,35,Engineering,Software Engineer,L3,New York,EMP22D5E0,2023-01-24,1.9,0.8999999999999999,187458.0,0.08,3.0,72.0,73.0,26.0,9.0,3.2,68.0,0,Not Promoted,1,4,Low,,,1,1-3yrs,0,0
EMPBC0FF9,Female,38,Operations,Operations Manager,L5,Chicago,EMP66ED08,2021-01-21,3.9,1.9,199990.0,0.23,3.3,75.0,81.0,65.0,7.6,3.6,66.0,1,Not Promoted,0,3,Low,,,1,3-5yrs,0,0
EMP371D35,Female,50,HR,Talent Acquisition,L1,San Francisco,EMP5E9BEA,2019-06-23,5.5,3.5,66617.0,0.16,2.9,89.0,85.0,77.0,10.0,1.9,8.0,0,Promoted,2,14,Low,,,1,5-10yrs,0,1
EMP262ABA,Male,36,Engineering,Software Engineer,L3,Chicago,EMP388025,2019-11-19,5.1,5.1,151938.0,0.15,2.8,93.0,88.0,51.0,10.0,2.0,23.0,1,Not Promoted,2,7,Low,,,1,5-10yrs,0,0
EMP3E68A5,Male,40,Engineering,DevOps Engineer,L1,New York,EMP44FA64,2015-02-02,9.9,7.9,79543.0,0.15,1.7,65.0,100.0,75.0,7.4,2.6,73.0,5,Promoted,2,1,Low,,,1,5-10yrs,0,1
EMP3E5E10,Male,27,Engineering,Software Engineer,L2,New York,EMPC48C00,2023-08-12,1.4,0.3999999999999999,101021.0,0.07,3.5,47.0,97.0,73.0,9.2,2.8,29.0,2,Not Promoted,2,4,Low,,,1,1-3yrs,0,0
EMP018326,Male,41,Sales,Sales Executive,L2,New York,EMP90EE3D,2017-02-15,7.9,6.9,96076.0,0.1,1.5,69.0,84.0,75.0,7.1,4.9,4.0,1,Not Promoted,3,8,Low,,,1,5-10yrs,0,0
EMP42AF1D,Male,31,Finance,Finance Manager,L2,San Francisco,EMPC65D9E,2018-06-17,6.5,4.5,102780.0,0.18,3.2,68.0,82.0,86.0,6.5,3.4,29.0,2,Not Promoted,2,9,Low,,,1,5-10yrs,0,0
EMP73AD44,Male,36,Sales,Sales Director,L4,Chicago,EMPCA2DF7,2021-09-10,3.3,2.3,174909.0,0.28,1.6,77.0,87.0,68.0,6.4,2.8,83.0,2,Promoted,1,4,Low,,,1,3-5yrs,0,1
EMP603391,Male,34,Sales,Sales Director,L1,Austin,EMP4A5B97,2020-11-08,4.1,3.0999999999999996,53130.0,0.13,3.2,87.0,75.0,81.0,8.0,3.4,15.0,1,Not Promoted,2,1,Low,,,1,3-5yrs,0,0
EMPD850D2,Male,43,Finance,Finance Manager,L2,Chicago,EMPB1C35D,2016-06-06,8.6,7.6,112712.0,0.14,3.2,38.0,94.0,34.0,8.7,1.5,15.0,0,Promoted,2,4,Low,,,1,5-10yrs,0,1
EMP1F17FD,Male,25,Engineering,Technical Lead,L1,San Francisco,EMP0834B6,2018-01-11,7.0,7.0,61272.0,0.17,3.6,60.0,80.0,51.0,8.0,2.5,71.0,2,Not Promoted,0,17,Low,,,1,5-10yrs,0,0
EMPA84689,Female,22,Sales,Sales Manager,L3,Remote,EMP8BC489,2024-01-23,0.9,0.9,125286.0,0.11,4.0,55.0,88.0,63.0,5.9,2.6,26.0,0,Not Promoted,2,7,Low,,,1,<1yr,0,0
EMP4E7D42,Male,33,Sales,Sales Director,L1,Chicago,EMPAFB54A,2019-06-27,5.5,3.5,83360.0,0.07,4.1,95.0,100.0,50.0,5.8,2.4,75.0,2,Not Promoted,3,6,Low,,,1,5-10yrs,0,0
EMPEED084,Female,39,Sales,Business Development,L4,Remote,EMPAEA10F,2024-10-28,0.2,0.2,130850.0,0.23,1.8,68.0,89.0,70.0,3.7,4.4,95.0,3,Not Promoted,1,5,Low,,,1,<1yr,0,0
EMP11BEB1,Male,36,HR,Talent Acquisition,L4,San Francisco,EMP544C4A,2021-02-24,3.9,2.9,230145.0,0.27,3.1,63.0,85.0,63.0,8.2,3.9,12.0,1,Not Promoted,1,8,Low,,,1,3-5yrs,0,0
EMP03CDF2,Female,45,Engineering,Data Scientist,L4,New York,EMP471AF3,2021-09-01,3.3,2.3,216393.0,0.23,5.0,82.0,76.0,61.0,7.6,2.2,28.0,0,Not Promoted,3,7,Low,,,1,3-5yrs,0,0
EMPFFBDAA,Female,38,Finance,Treasury Analyst,L1,New York,EMP671037,2022-01-29,2.9,0.8999999999999999,64078.0,0.15,3.3,61.0,81.0,88.0,5.4,2.2,44.0,2,Not Promoted,4,2,Low,,,1,1-3yrs,0,0
EMP5B3441,Female,30,Finance,Accountant,L3,Chicago,EMP53D280,2023-10-25,1.2,0.19999999999999996,124379.0,0.1,2.5,72.0,68.0,72.0,7.4,2.2,23.0,1,Not Promoted,0,23,Low,,,1,1-3yrs,0,0
EMPE14F4D,Female,22,Engineering,Software Engineer,L1,New York,EMP197F64,2022-07-28,2.4,2.4,78245.0,0.06,3.1,100.0,88.0,48.0,7.8,3.1,58.0,1,Not Promoted,0,3,Low,,,1,1-3yrs,0,0
EMP5AB69A,Male,33,Finance,Treasury Analyst,L4,San Francisco,EMPE66B5C,2019-08-19,5.4,4.4,221579.0,0.15,2.9,100.0,56.0,58.0,4.9,3.5,34.0,2,Not Promoted,1,0,Low,,,1,5-10yrs,0,0
EMP8F5512,Female,43,Engineering,Data Scientist,L3,San Francisco,EMP6EC403,2020-06-01,4.6,3.5999999999999996,160803.0,0.18,2.1,65.0,94.0,85.0,6.7,3.7,9.0,0,Not Promoted,3,3,Low,,,1,3-5yrs,0,0
EMP679042,Female,32,Engineering,Architecture Lead,L2,Chicago,EMP8956E6,2022-04-18,2.7,2.7,95028.0,0.11,4.0,69.0,91.0,74.0,9.2,2.4,11.0,1,Not Promoted,3,6,Low,,,1,1-3yrs,0,0
EMPD751BC,Female,35,Operations,Operations Analyst,L3,Chicago,EMP7B0395,2015-07-08,9.5,8.5,131248.0,0.05,3.7,61.0,83.0,94.0,5.0,3.1,5.0,1,Not Promoted,2,4,Low,,,1,5-10yrs,0,0
EMPFA7CD3,Female,38,Operations,Project Manager,L1,New York,EMP0D4056,2016-05-26,8.6,8.6,77543.0,0.17,2.0,37.0,76.0,87.0,6.0,3.2,30.0,2,Not Promoted,2,1,Low,,,1,5-10yrs,0,0
EMP340CA1,Male,27,HR,Talent Acquisition,L2,San Francisco,EMP71650A,2019-06-10,5.6,5.6,109243.0,0.11,3.1,91.0,82.0,62.0,8.0,4.4,6.0,0,Promoted,4,7,Low,,,1,5-10yrs,0,1
EMP79CBAD,Female,40,Sales,Sales Executive,L1,Chicago,EMPB3655B,2019-02-22,5.9,3.9000000000000004,70736.0,0.16,2.7,100.0,61.0,99.0,6.5,4.0,37.0,3,Not Promoted,0,9,Low,,,1,5-10yrs,0,0
EMPFC0B90,Male,48,Engineering,Data Scientist,L6,Remote,EMP2372BC,2019-03-31,5.8,5.8,299878.0,0.27,1.8,64.0,92.0,100.0,8.2,2.0,13.0,2,Not Promoted,2,1,Low,,,1,5-10yrs,0,0
EMP213AC1,Male,34,Finance,Treasury Analyst,L4,Chicago,EMP2D4906,2016-10-06,8.2,8.2,189564.0,0.14,1.9,57.0,80.0,34.0,8.0,1.6,58.0,5,Not Promoted,3,13,High,2025-01-18,Involuntary,0,5-10yrs,1,0
EMP48D2E0,Male,26,Sales,Business Development,L3,Remote,EMPEC6391,2024-05-30,0.6,0.6,112270.0,0.13,2.1,67.0,100.0,71.0,8.4,3.2,23.0,0,Promoted,0,8,High,2025-03-01,Voluntary,0,<1yr,1,1
EMP96EAB7,Female,34,Engineering,DevOps Engineer,L5,Austin,EMPC93D43,2020-07-31,4.4,4.4,245840.0,0.28,3.1,74.0,87.0,59.0,6.8,2.7,39.0,1,Not Promoted,1,13,High,2025-10-23,Involuntary,0,3-5yrs,1,0
EMP8763C4,Male,22,Sales,Account Manager,L1,Chicago,EMP1D8168,2023-05-14,1.6,0.6000000000000001,75007.0,0.05,2.8,52.0,85.0,65.0,7.3,2.4,22.0,1,Not Promoted,1,4,High,2025-12-13,Voluntary,0,1-3yrs,1,0
EMPEE129A,Male,38,Engineering,Technical Lead,L4,New York,EMPB3726B,2020-07-04,4.5,3.5,208846.0,0.25,2.3,64.0,87.0,54.0,8.4,2.6,22.0,0,Not Promoted,2,5,High,2025-09-22,Voluntary,0,3-5yrs,1,0
EMP33952C,Male,39,Operations,Business Analyst,L1,Chicago,EMP461C34,2024-03-18,0.8,0.0,49128.0,0.08,2.8,90.0,70.0,51.0,5.8,3.8,41.0,1,Not Promoted,2,7,High,2025-04-17,Voluntary,0,<1yr,1,0
EMPD26154,Female,48,Sales,Sales Director,L3,Chicago,EMPABF6B2,2022-09-01,2.3,0.2999999999999998,167973.0,0.1,3.9,74.0,77.0,88.0,5.4,1.9,4.0,1,Not Promoted,2,6,High,2025-12-05,Voluntary,0,1-3yrs,1,0
EMP2B62DE,Female,33,Finance,Accountant,L3,Chicago,EMPAFE960,2018-04-24,6.7,5.7,104218.0,0.1,3.5,95.0,84.0,47.0,7.0,5.0,41.0,3,Promoted,1,6,High,2025-08-28,Voluntary,0,5-10yrs,1,1
EMPE7E277,Male,38,Sales,Business Development,L1,San Francisco,EMP907385,2015-07-03,9.5,8.5,75362.0,0.17,4.1,79.0,78.0,72.0,5.6,2.7,94.0,1,Not Promoted,0,2,High,2025-03-05,Voluntary,0,5-10yrs,1,0
EMPCCD063,Male,28,Finance,Controller,L2,San Francisco,EMPBC69D9,2016-10-09,8.2,6.199999999999999,95415.0,0.12,3.0,52.0,75.0,43.0,5.9,3.9,80.0,0,Not Promoted,1,8,High,,,1,5-10yrs,0,0
EMP94D02E,Female,32,Finance,Finance Manager,L1,San Francisco,EMP0C4528,2015-09-15,9.3,8.3,60749.0,0.11,4.6,62.0,79.0,95.0,7.1,2.7,31.0,2,Not Promoted,3,6,Low,,,1,5-10yrs,0,0
EMP09C4D8,Female,23,Engineering,DevOps Engineer,L7,San Francisco,EMPF2157F,2019-01-30,5.9,5.9,642188.0,0.32,3.5,76.0,83.0,71.0,6.9,1.9,49.0,1,Not Promoted,3,5,High,2025-02-11,Voluntary,0,5-10yrs,1,0
EMP133A0E,Female,33,Operations,Process Engineer,L1,New York,EMPD7F00C,2024-03-20,0.8,0.8,74125.0,0.06,2.8,52.0,100.0,85.0,6.3,3.2,65.0,1,Promoted,1,1,High,2025-05-09,Voluntary,0,<1yr,1,1
EMP8A5B3F,Male,33,HR,HR Director,L2,Austin,EMPA024C9,2020-07-29,4.4,3.4000000000000004,102389.0,0.06,3.3,49.0,78.0,74.0,5.9,2.2,31.0,2,Not Promoted,2,2,High,2025-02-04,Voluntary,0,3-5yrs,1,0
EMP312A0F,Female,37,Operations,Project Manager,L3,New York,EMPD114DC,2016-06-25,8.5,6.5,135004.0,0.05,2.1,51.0,74.0,65.0,5.7,3.4,25.0,0,Not Promoted,3,5,High,2025-03-27,Voluntary,0,5-10yrs,1,0
EMP762EDF,Male,30,Operations,Operations Analyst,L1,New York,EMPCBD1B1,2017-04-24,7.7,7.7,66118.0,0.14,2.9,81.0,80.0,71.0,2.4,3.3,40.0,2,Not Promoted,0,3,High,2025-03-03,Involuntary,0,5-10yrs,1,0
EMP42D0C2,Male,36,Finance,Treasury Analyst,L2,San Francisco,EMP3BE826,2015-12-22,9.0,8.0,101552.0,0.12,3.6,65.0,100.0,100.0,5.4,2.7,17.0,2,Not Promoted,1,19,High,2025-05-18,Voluntary,0,5-10yrs,1,0
EMP12B5C6,Male,32,Operations,Operations Analyst,L3,Chicago,EMP82FC87,2023-01-15,2.0,2.0,142666.0,0.16,3.8,93.0,100.0,52.0,5.9,3.4,44.0,1,Not Promoted,3,2,High,,,1,1-3yrs,0,0
EMPB503CA,Male,32,Engineering,Data Scientist,L1,San Francisco,EMPC3877D,2016-08-27,8.4,6.4,95935.0,0.11,2.8,56.0,100.0,19.0,8.9,4.2,23.0,2,Not Promoted,2,10,High,,,1,5-10yrs,0,0
EMPEB863A,Female,36,Engineering,DevOps Engineer,L3,New York,EMPF2F0F1,2018-08-13,6.4,5.4,148330.0,0.08,5.0,35.0,83.0,54.0,8.0,3.2,83.0,2,Promoted,1,5,High,2025-12-22,Involuntary,0,5-10yrs,1,1
EMP6BB333,Male,35,Engineering,Software Engineer,L1,Chicago,EMP8A12B4,2016-08-29,8.3,6.300000000000001,63928.0,0.15,3.0,70.0,90.0,46.0,7.3,2.6,16.0,5,Not Promoted,4,5,High,2025-01-04,Voluntary,0,5-10yrs,1,0
EMPBB9C7E,Male,41,Sales,Sales Manager,L1,San Francisco,EMPA6F8F1,2018-01-25,6.9,4.9,103705.0,0.09,1.7,100.0,69.0,89.0,5.9,3.7,35.0,0,Not Promoted,1,16,High,2025-09-08,Involuntary,0,5-10yrs,1,0
EMPA74E16,Male,34,Sales,Account Manager,L2,Remote,EMP7EF5C5,2017-01-04,8.0,6.0,61652.0,0.17,4.3,73.0,78.0,66.0,6.1,3.7,78.0,1,Promoted,2,2,High,2025-11-30,Voluntary,0,5-10yrs,1,1
EMPD16A7F,Male,32,Sales,Sales Director,L2,Remote,EMP930AE0,2017-04-11,7.7,7.7,71639.0,0.08,3.7,47.0,69.0,87.0,8.5,3.0,2.0,0,Not Promoted,1,9,High,2025-12-14,Involuntary,0,5-10yrs,1,0
EMP483C86,Male,34,HR,Talent Acquisition,L5,San Francisco,EMPDB5C7F,2018-10-25,6.2,5.2,275469.0,0.15,3.4,43.0,88.0,71.0,6.5,4.5,22.0,0,Not Promoted,2,1,Low,,,1,5-10yrs,0,0
EMPEE1E91,Male,29,Sales,Sales Manager,L4,San Francisco,EMP55BE36,2016-09-12,8.3,7.300000000000001,176243.0,0.2,2.8,94.0,82.0,70.0,5.4,3.0,106.0,0,Not Promoted,2,7,High,2025-12-21,Voluntary,0,5-10yrs,1,0
EMP1921F4,Male,32,Sales,Sales Executive,L2,Chicago,EMP99A4CF,2018-10-31,6.2,6.2,87655.0,0.06,3.6,57.0,85.0,73.0,8.1,4.6,163.0,3,Promoted,3,1,High,2025-10-08,Voluntary,0,5-10yrs,1,1
EMP5C8C77,Female,51,Finance,Accountant,L2,New York,EMP24F478,2024-04-13,0.7,0.7,88902.0,0.05,4.7,100.0,72.0,100.0,6.4,2.7,39.0,2,Promoted,1,4,High,2025-04-29,Voluntary,0,<1yr,1,1
EMP751BBC,Female,28,Engineering,Technical Lead,L1,San Francisco,EMP969DCB,2023-05-01,1.7,0.7,98971.0,0.11,3.4,84.0,92.0,74.0,9.9,4.1,43.0,0,Not Promoted,3,2,Low,,,1,1-3yrs,0,0
EMP01DF39,Female,33,HR,HR Manager,L1,San Francisco,EMP9DC8F5,2019-05-18,5.6,4.6,85785.0,0.08,1.9,58.0,53.0,92.0,8.6,3.1,9.0,3,Not Promoted,5,15,High,2025-07-16,Involuntary,0,5-10yrs,1,0
EMP09EE9D,Male,32,Engineering,Software Engineer,L2,Remote,EMP997CBF,2024-04-27,0.7,0.0,80505.0,0.05,1.0,93.0,79.0,91.0,8.8,3.5,77.0,1,Not Promoted,1,9,High,2025-02-08,Voluntary,0,<1yr,1,0
EMP69DA9E,Female,33,Operations,Business Analyst,L4,New York,EMP6DD0CF,2015-05-19,9.6,9.6,204246.0,0.17,3.5,55.0,81.0,67.0,3.4,1.5,76.0,1,Not Promoted,5,11,High,2025-08-23,Voluntary,0,5-10yrs,1,0
EMP8D271A,Female,32,HR,HR Director,L1,Chicago,EMPF620BA,2015-01-03,10.0,10.0,73179.0,0.11,2.3,46.0,58.0,69.0,9.1,5.0,8.0,0,Not Promoted,5,4,Low,,,1,5-10yrs,0,0
EMPACACF3,Female,37,Engineering,Data Scientist,L1,Chicago,EMP720EAF,2020-11-04,4.2,4.2,77436.0,0.1,3.1,56.0,87.0,62.0,6.0,3.6,46.0,1,Promoted,2,12,High,2025-04-27,Involuntary,0,3-5yrs,1,1
EMP48EB20,Female,22,Engineering,DevOps Engineer,L2,San Francisco,EMP693243,2018-08-07,6.4,6.4,129136.0,0.07,2.5,86.0,80.0,96.0,8.2,4.2,29.0,4,Not Promoted,1,20,High,,,1,5-10yrs,0,0
EMPE8D446,Male,43,HR,Talent Acquisition,L1,New York,EMP5DC6F4,2023-05-11,1.6,1.6,58335.0,0.13,2.4,92.0,89.0,51.0,7.4,2.1,75.0,1,Not Promoted,2,11,High,2025-06-02,Voluntary,0,1-3yrs,1,0
EMPF6026B,Female,40,HR,Benefits Coordinator,L3,Remote,EMPF0FBE4,2024-05-21,0.6,0.0,92882.0,0.14,2.5,65.0,100.0,56.0,8.1,3.5,58.0,5,Not Promoted,1,5,High,2025-04-05,Voluntary,0,<1yr,1,0
EMPAD3A18,Male,25,HR,HR Manager,L2,San Francisco,EMPFAB1D2,2020-11-10,4.1,2.0999999999999996,120779.0,0.14,2.6,38.0,86.0,64.0,6.5,3.1,22.0,2,Not Promoted,4,7,High,2025-01-24,Voluntary,0,3-5yrs,1,0
EMPAA73A3,Male,22,HR,Benefits Coordinator,L2,Chicago,EMP79467A,2024-05-24,0.6,0.0,112501.0,0.1,3.9,44.0,94.0,47.0,5.7,2.3,15.0,2,Not Promoted,4,10,High,2025-04-28,Voluntary,0,<1yr,1,0
EMP538FE8,Male,27,Engineering,Data Scientist,L1,New York,EMPA8BA3D,2021-12-11,3.1,1.1,100343.0,0.07,3.7,53.0,99.0,58.0,7.4,4.5,25.0,7,Not Promoted,2,1,High,2025-04-28,Involuntary,0,3-5yrs,1,0
EMP048509,Male,33,Sales,Sales Executive,L4,San Francisco,EMP10C448,2018-06-19,6.5,4.5,221601.0,0.2,2.1,49.0,88.0,93.0,6.1,3.4,51.0,1,Not Promoted,0,11,High,2025-04-14,Voluntary,0,5-10yrs,1,0
EMP2DF01C,Female,56,Engineering,Technical Lead,L1,San Francisco,EMP8E244F,2021-09-24,3.3,1.2999999999999998,65486.0,0.17,2.2,77.0,72.0,83.0,5.9,3.3,55.0,0,Not Promoted,5,13,High,2025-01-06,Voluntary,0,3-5yrs,1,0
EMP6A401F,Male,39,Operations,Business Analyst,L4,New York,EMPEAECB1,2019-05-19,5.6,3.5999999999999996,171656.0,0.19,3.5,100.0,62.0,62.0,3.3,3.9,4.0,3,Not Promoted,4,19,High,2025-07-29,Voluntary,0,5-10yrs,1,0
EMPA5B902,Male,22,Finance,Finance Manager,L2,New York,EMPB28989,2024-11-07,0.1,0.1,126065.0,0.08,4.1,86.0,86.0,86.0,3.3,2.5,16.0,3,Not Promoted,1,2,High,,,1,<1yr,0,0
EMPF341CC,Female,29,Sales,Sales Manager,L4,Austin,EMP73606F,2015-09-14,9.3,8.3,167941.0,0.13,4.1,52.0,77.0,100.0,7.3,3.4,1.0,1,Not Promoted,2,4,High,2025-03-10,Voluntary,0,5-10yrs,1,0
EMP0729D6,Male,35,Engineering,Software Engineer,L3,New York,EMP61949A,2020-01-28,4.9,3.9000000000000004,129215.0,0.17,2.3,60.0,97.0,76.0,6.8,3.4,104.0,0,Not Promoted,1,0,High,2025-07-31,Voluntary,0,3-5yrs,1,0
EMPDAC57B,Male,37,Sales,Business Development,L1,New York,EMPBE1FEB,2017-01-06,8.0,7.0,98126.0,0.15,4.1,63.0,76.0,98.0,5.6,3.4,56.0,2,Not Promoted,0,2,High,2025-11-12,Voluntary,0,5-10yrs,1,0
EMPBA51A5,Female,24,Sales,Sales Director,L4,San Francisco,EMPEEAF66,2016-03-18,8.8,7.800000000000001,176780.0,0.17,1.6,79.0,82.0,87.0,6.8,4.2,8.0,3,Promoted,1,9,High,2025-07-25,Involuntary,0,5-10yrs,1,1
EMP542A34,Female,34,HR,Benefits Coordinator,L3,Austin,EMPE70783,2019-01-22,5.9,3.9000000000000004,143895.0,0.09,3.0,100.0,68.0,64.0,9.0,2.9,30.0,2,Not Promoted,2,1,Low,,,1,5-10yrs,0,0
EMP65656D,Male,29,Finance,Finance Manager,L1,New York,EMPF61422,2024-07-10,0.5,0.0,83544.0,0.17,3.6,64.0,78.0,74.0,7.2,2.8,20.0,3,Promoted,1,14,High,,,1,<1yr,0,1
EMPC18AEF,Female,26,Operations,Process Engineer,L1,Chicago,EMP31E399,2015-08-20,9.4,9.4,51685.0,0.07,1.3,100.0,71.0,81.0,5.3,2.7,59.0,1,Promoted,2,5,High,,,1,5-10yrs,0,1
EMPEA0228,Male,37,Sales,Sales Director,L3,New York,EMPC7F612,2018-10-22,6.2,5.2,139902.0,0.12,5.0,100.0,72.0,55.0,9.7,2.7,34.0,1,Not Promoted,0,8,High,,,1,5-10yrs,0,0
EMP629A2E,Male,41,Engineering,Data Scientist,L3,New York,EMPD46547,2023-09-01,1.3,0.0,125882.0,0.14,4.4,66.0,81.0,18.0,6.3,4.3,14.0,1,Not Promoted,0,7,High,2025-02-23,Involuntary,0,1-3yrs,1,0
EMP05E224,Male,42,HR,Benefits Coordinator,L3,New York,EMP97737A,2016-09-07,8.3,7.300000000000001,159634.0,0.1,3.8,65.0,75.0,53.0,6.1,3.2,32.0,1,Promoted,2,7,High,,,1,5-10yrs,0,1
EMPFA08A1,Male,40,HR,Talent Acquisition,L3,Austin,EMPF499BF,2015-02-03,9.9,7.9,127927.0,0.06,2.3,66.0,100.0,27.0,7.9,4.2,24.0,1,Promoted,2,5,High,,,1,5-10yrs,0,1
EMP6426FA,Female,31,Finance,Finance Manager,L3,New York,EMP29FCC3,2022-01-07,3.0,3.0,115067.0,0.08,3.1,73.0,92.0,55.0,6.5,3.5,58.0,1,Not Promoted,1,7,High,,,1,1-3yrs,0,0
EMP96CCF2,Female,41,HR,Talent Acquisition,L3,New York,EMPAD02A3,2019-01-14,6.0,6.0,187197.0,0.17,3.9,66.0,95.0,36.0,8.9,2.5,76.0,3,Promoted,2,12,High,2025-08-16,Voluntary,0,5-10yrs,1,1
EMP84A2AF,Male,37,Sales,Sales Director,L2,San Francisco,EMP70F664,2023-03-18,1.8,0.0,105683.0,0.12,2.2,88.0,81.0,88.0,5.7,1.9,29.0,2,Not Promoted,1,12,High,2025-02-13,Voluntary,0,1-3yrs,1,0
EMP861B02,Male,36,Finance,Financial Analyst,L1,Austin,EMPA46619,2017-07-21,7.5,6.5,56393.0,0.16,3.0,44.0,83.0,46.0,6.6,2.0,12.0,3,Not Promoted,1,4,High,2025-06-12,Voluntary,0,5-10yrs,1,0
EMP4496C5,Female,30,Sales,Sales Executive,L4,New York,EMPDB488E,2018-09-15,6.3,6.3,180018.0,0.21,4.0,62.0,77.0,81.0,5.2,2.5,22.0,2,Not Promoted,2,3,High,,,1,5-10yrs,0,0
EMP1BECAC,Male,31,Engineering,Software Engineer,L1,San Francisco,EMP6A9BA2,2017-03-26,7.8,7.8,63782.0,0.17,1.9,78.0,100.0,85.0,8.3,4.2,63.0,1,Not Promoted,2,4,Low,,,1,5-10yrs,0,0
EMPDD95FF,Male,36,Engineering,Technical Lead,L2,New York,EMP793507,2023-08-10,1.4,1.4,128215.0,0.17,3.5,88.0,81.0,84.0,7.4,4.5,32.0,1,Promoted,2,5,Low,,,1,1-3yrs,0,1
EMP360A67,Female,55,Engineering,Technical Lead,L3,San Francisco,EMPB4C685,2015-12-26,9.0,9.0,141723.0,0.11,1.6,100.0,75.0,33.0,6.8,3.4,69.0,3,Promoted,3,12,High,2025-03-18,Voluntary,0,5-10yrs,1,1
EMPD114DC,Female,37,Finance,Finance Manager,L2,Chicago,EMPDD865B,2017-02-10,7.9,6.9,92598.0,0.09,2.4,49.0,73.0,92.0,6.6,4.1,12.0,0,Not Promoted,0,8,High,2025-06-17,Involuntary,0,5-10yrs,1,0
EMP732D72,Female,30,Sales,Account Manager,L1,Chicago,EMP2FB2C4,2023-01-23,1.9,0.8999999999999999,84597.0,0.13,2.7,60.0,86.0,78.0,6.5,2.8,36.0,1,Not Promoted,0,6,High,2025-10-12,Voluntary,0,1-3yrs,1,0
EMP8A9C9B,Male,28,Finance,Finance Manager,L1,San Francisco,EMP11028C,2016-05-02,8.7,7.699999999999999,87452.0,0.14,3.7,35.0,99.0,86.0,4.9,2.7,19.0,1,Not Promoted,4,0,High,2025-10-16,Voluntary,0,5-10yrs,1,0
EMP86BF2D,Female,31,Operations,Project Manager,L3,San Francisco,EMPF8C0D0,2020-10-10,4.2,2.2,147389.0,0.11,2.6,52.0,95.0,100.0,7.9,4.0,20.0,1,Not Promoted,1,8,Low,,,1,3-5yrs,0,0
