Year,Rank,Company,Revenue (in millions),Profit (in millions)
1955,80,Pure Oil,388.3,31.2
1955,81,BorgWarner,380.3,24.5
1955,82,Nabisco Brands,376.4,19.9
1955,83,Avco,375.4,3.6
1955,84,Unocal,349.7,35.9
1955,85,Philco,349.3,6.8
1955,86,Burlington Industries Equity,347.5,8.4
1955,87,Monsanto,341.8,23.7
1955,88,Campbell Soup,338.7,23.6
1955,89,Owens-Illinois,336.7,21.5
1955,90,Pillsbury,336,4.9
1955,91,Singer,333.9,11.9
1955,92,Hormel Foods,331.8,1.8
1955,93,Hygrade Food Products,324.2,1
1955,94,Republic Aviation,323.5,9
1955,95,Carnation,310,7.7
1955,96,Amstar,308.8,7.6
1955,97,Reynolds Metals,306.8,20.3
1955,98,Morrell (John),306.5,0.5
1955,99,BP America,304.4,18.5
1955,100,American Standard,303.4,20.4
1955,101,United Merchants & Mfrs.,300.1,9.2
1955,102,Crane,299.8,5.8
1955,103,Crown Zellerbach,298,26.8
1955,104,Deere,295.6,20.6
1955,105,Liggett Group,294.1,22.2
1955,106,Sylvania Electric Products,281.6,9.5
1955,107,J.P. Stevens,277.6,3.6
1955,108,Phelps Dodge,277.1,41.2
1955,109,Beatrice,275,4.8
1955,110,Rath Packing,273.6,1.4
1955,111,Martin Marietta,270.7,20.1
1955,112,TRW,269,11.7
1955,113,Quaker Oats,266.1,8.9
1955,114,Weyerhaeuser,262.5,35.5
1955,115,Colgate-Palmolive,261.8,12.5
1955,116,NCR,259.1,12.7
1955,117,Manville,253.2,16.7
1955,118,Babcock & Wilcox,250.5,15.2
1955,119,CF&I Steel,250.2,7.1
1955,120,A.O. Smith,249.6,5.4
1955,121,Marathon Oil,248.5,38.2
1955,122,Foremost Dairies,247.4,6.1
1955,123,Furniture Brands Intl.,246.8,10.2
1955,124,ACF Industries,245.1,7.8
1955,125,Otis Elevator,244,6.3
1955,126,Coca-Cola,243.3,25.9
1955,127,Rockwell-Standard,241.8,12.1
1955,128,J.E. Seagram,236.3,25.7
1955,129,Grumman,235.3,11.2
1955,130,National Supply,231.7,9.3
1955,131,3M,230.9,24.6
1955,132,Honeywell,229.4,15.3
1955,133,Scott Paper,228.8,18.8
1955,134,Ashland,227.9,6.6
1955,135,Del Monte Foods,226.9,6.7
1955,136,Kaisertech,226.6,14
1955,137,Remington Rand,225.5,12.2
1955,138,FMC,225.3,12.1
1955,139,Oscar Mayer,224.4,2.8
1955,140,Richfield Oil,222.8,25.6
1955,141,Studebaker,222.3,-26.2
1955,142,H.J. Heinz,220.6,5.6
1955,143,Admiral,219.6,6.5
1955,144,Armstrong Holdings,217.6,11.9
1955,145,American Viscose,217.2,10.5
1955,146,USG,217,32.4
1955,147,GenCorp,217,4.5
1955,148,Anheuser-Busch,215.9,12.8
1955,149,"Libby, McNeill & Libby",215.4,4.2
1955,150,Continental Baking,212.5,5.7
1955,151,Kaiser Industries,212.4,-35.5
1955,152,Aeroquip-Vickers,212.3,24
1955,153,Skelly Oil,211.1,29.5
1955,154,Glidden,209.1,7.1
1955,155,Archer Daniels Midland,207.7,5
1955,156,Motorola,205.2,7.6
1955,157,Wyeth,203.1,16.2
1955,158,International Packers,202.5,0.4
1955,159,Johnson & Johnson,200.9,9.5
1955,160,Quantum Chemical,200.1,13.7
1955,161,St. Regis,200.1,14.9
1955,162,Electric Autolite,198.5,0.7
1955,163,Arden Farms,195.1,1.9
1955,164,Bestfoods,194.7,15.8
1955,165,Revere Copper & Brass,193.3,10.3
1955,166,Hearst Consolidated Publications,190.9,-0.3
1955,167,Wheeling Pittsburgh,187.6,9.6
1955,168,Koppers,187.6,6.1
1955,169,Hercules,187.5,14.1
1955,170,Alco Products,187.2,4.6
1955,171,Container Corp. of America,186.6,13.6
1955,172,M. Lowenstein,186,6.8
1955,173,Bell Intercontinental,185.6,6.4
1955,174,Continental Motors,182.1,4.5
1955,175,Cannon Mills,180.2,9.1
1955,176,Pet,178.2,8.1
1955,177,Kimberly-Clark,177.3,11.1
1955,178,Raytheon,177.1,3.5
1955,179,Dart Industries,176.1,3.3
1955,180,Wesson Oil & Snowdrift,175.5,6.7
1955,181,Curtis Publishing,173.4,4.5
1955,182,Schenley Industries,172,3.8
1955,183,Northrop Grumman,171.4,3.8
1955,184,Allegheny International,169.6,4.2
1955,185,Whirlpool,169.5,9.2
1955,186,Kellogg,169.5,12.7
1955,187,Unisys,169.1,7.8
1955,188,Walter Industries,167.2,2.6
1955,189,Eaton,165.2,8.6
1955,190,Westvaco,164.8,13.1
1955,191,Sterling Drug,164.3,13.1
1955,192,Mid-Continent Petroleum,164.2,13.5
1955,193,Rheem Manufacturing,163.6,6
1955,194,Gillette,162.2,26.1
1955,195,Crucible Steel,160.6,3.7
1955,196,Brink's,159.7,2
1955,197,Hershey Foods,159.4,7.1
1955,198,General American Transportation,156.2,11.4
1955,199,Baldwin-Lima-Hamilton,155.2,4.1
1955,200,Dana,153.5,12.3
1955,201,Central Soya,153.1,3.9
1955,202,Carrier,151.4,6.9
1955,203,Grinnell,150.9,8
1955,204,Combustion Engineering,150.5,6.6
1955,205,Genesco,150.1,4.8
1955,206,Chance Vought,149.6,6.6
1955,207,Newport News Shipbuilding,149.5,7.2
1955,208,Consolidation Coal,149.2,12.1
1955,209,Corning,147.9,17.5
1955,210,Celanese,147.6,6.6
1955,211,Fruehauf,146.3,4.5
1955,212,Merck,145.5,12.6
1955,213,White Motor,145.5,4.9
1955,214,International Cellucotton Products,145.4,7.4
1955,215,Pfizer,145.2,15.2
1955,216,Pabst Brewing,145,2.1
1955,217,Staley Continental,144.9,5.3
1955,218,Altria Group,142.8,11.4
1955,219,National Sugar Refining,140.7,2.3
1955,220,Cone Mills,140.7,2.6
1955,221,Fairchild Engine & Airplane,140.4,4.1
1955,222,Simmons,139.1,5.4
1955,223,Brown Shoe,138.9,4.8
1955,224,Zenith Electronics,138.6,5.7
1955,225,Foster Wheeler,138.6,3.6
1955,226,Studebaker-Worthington,138.3,6.9
1955,227,Owens Corning,136.5,8.4
1955,228,Timken,135.6,10.7
1955,229,Norton,135,N.A.
1955,230,American Bakeries,134.8,4.4
1955,231,Campbell Taggart,133.9,4.3
1955,232,Endicott Johnson,133.3,2.1
1955,233,McGraw-Edison,132.8,9.4
1955,234,Rohm & Haas,132.6,12.4
1955,235,Lorillard,131.5,6.3
1955,236,Ingersoll-Rand,130.3,23
1955,237,Dresser Industries,130.2,7.4
1955,238,Kaiser Steel,128.5,7.9
1955,239,Cletrac,128.3,3.7
1955,240,Champion Papers,128,9.5
1955,241,National Gypsum,126.6,13.1
1955,242,AMF,126.5,4
1955,243,Clinton Foods,125.7,3.9
1955,244,Sunray Oil,125.2,23.2
1955,245,Eastern Gas & Fuel Associates,124.6,2.8
1955,246,Champion International,124.1,4.7
1955,247,Pittsburgh Steel,124,2.2
1955,248,Tecumseh Products,124,5.7
1955,249,Kelsey-Hayes,123.8,5.5
1955,250,General Precision Equipment,123.3,5.5
1955,251,BOC,123.3,6.3
1955,252,McDonnell Douglas,123.1,3.6
1955,253,Eli Lilly,122.3,11.3
1955,254,General Host,122.1,2.2
1955,255,Stokely-Van Camp,121.7,3
1955,256,Westinghouse Air Brake,121.5,7.8
1955,257,American-Marietta,120.7,5.5
1955,258,Mack Trucks,120.3,1.3
1955,259,Sunshine Biscuits,119.2,6
1955,260,Marathon,117.8,7.5
1955,261,Keebler,117.2,1.9
1955,262,Gair (Robert),116.4,5.1
1955,263,Bemis,115.8,1.3
1955,264,Seeger Refrigerator,112.6,6
1955,265,Murray Corp.,112.5,5.8
1955,266,Warren Petroleum,112.4,8.9
1955,267,Mead,111.8,5.8
1955,268,Crown Holdings,111.4,1.4
1955,269,Link-Belt,111.2,5.4
1955,270,Scovill,111,4.4
1955,271,Cincinnati Milacron,110.5,9.3
1955,272,"Parke, Davis",109.9,10.5
1955,273,Abex,109.9,4.3
1955,274,Budd,109.5,9.6
1955,275,Anaconda Wire & Cable,108.7,4.7
1955,276,"Fairbanks, Morse",108,2.5
1955,277,CVS,107.9,6
1955,278,Allied Mills,106.7,3.2
1955,279,Bridgeport Brass,106,5.1
1955,280,Spencer Kellogg & Sons,105.7,2.6
1955,281,Union Camp,105.5,10.8
1955,282,GAF,105,2.5
1955,283,Fairmont Foods,104.6,0.8
1955,284,WestPoint Stevens,104.5,4.1
1955,285,Colorado Milling & Elevator,104.1,1.1
1955,286,Anchor Hocking,103.7,5.5
1955,287,Rohr,101.6,3.5
1955,288,Garrett,101.2,2.8
1955,289,Blaw-Knox,101.1,4.1
1955,290,Diamond International,100.8,5.6
1955,291,Schlitz Brewing,100,N.A.
1955,292,Textron,99.7,1.3
1955,293,Lion Oil,98.6,11.1
1955,294,Sharon Steel,98.2,3.1
1955,295,Pacific Vegetable Oil,97.9,N.A.
1955,296,GK Technologies,97.4,5.2
1955,297,Liebmann Breweries,96,N.A.
1955,298,Ward Foods,95.2,1.5
1955,299,St. Joseph Lead,95,7.5
1955,300,Flintkote,94.8,5.1
1955,301,Interstate Brands,94.2,3.2
1955,302,Imcera Group,93.6,6
1955,303,Maxus Energy,93.5,5.5
1955,304,Chemetron,93.4,5.2
1955,305,York International,93.3,2.9
1955,306,Kendall,93.2,4.2
1955,307,Squibb,93,3.4
1955,308,Stewart-Warner,92.9,2.8
1955,309,Case,92.4,-0.5
1955,310,Ex-Cell-O,92.3,8.8
1955,311,Du Mont (Allen B.) Labs.,91.9,0.9
1955,312,U.S. Pipe & Foundry,91.5,9
1955,313,Fibreboard,91.5,5.5
1955,314,Clark Equipment,91.1,5.7
1955,315,Plymouth Oil,90.9,6.8
1955,316,Collins Radio,90.3,3.4
1955,317,Sunbeam/Oster,90.1,6.9
1955,318,Inmont,89.8,3.3
1955,319,Amsted Industries,89,3.6
1955,320,Abbott Laboratories,88.1,8.7
1955,321,Yale & Towne Manufacturing,87.9,1.8
1955,322,Servel,87.8,-8.2
1955,323,Long-Bell Lumber Co.,87.7,3.7
1955,324,Motor Products,87,-1.1
1955,325,ITT Rayonier,86.9,11.9
1955,326,Best Foods,86.9,5.6
1955,327,Gaylord Container,86.5,7
1955,328,Virginia-Carolina Chemical,85.4,3.6
1955,329,Beaunit,85.3,4.5
1955,330,Pepperell Manufacturing,85.3,2.4
1955,331,Amerada Hess,85,19.8
1955,332,Texasgulf,84.6,30.5
1955,333,Lone Star Industries,84.4,12.6
1955,334,Royal McBee,84.4,2.8
1955,335,Eagle-Picher Industries,83.2,2.4
1955,336,Wm. Wrigley Jr.,82.6,11.4
1955,337,Stauffer Chemical,82.6,5.7
1955,338,Wagner Electric,82.2,1.9
1955,339,Marshall-Wells,81.9,1.5
1955,340,Dan River,81.8,2.8
1955,341,Keystone Consolidated Industries,81.1,5.7
1955,342,Maytag,81.1,6.7
1955,343,City Products,80.8,3.5
1955,344,Thomas J. Lipton,80.8,3.1
1955,345,Emerson Radio & Phonograph,80.6,1.9
1955,346,Cluett Peabody,80.4,3
1955,347,Hazel-Atlas Glass,79.2,3.6
1955,348,Gerber Products,78.9,3.5
1955,349,Great Western Sugar,78.5,4.4
1955,350,Tobin Packing,78.5,1
1955,351,Beech Aircraft,78,3.4
1955,352,ESB,77.7,7.8
1955,353,Minneapolis-Moline,77.4,N.A.
1955,354,Rockwell Manufacturing,76.5,5.7
1955,355,Ruberoid,76.4,4.6
1955,356,Paccar,76.4,2.4
1955,357,Butler Manufacturing,76.2,3.3
1955,358,Superior Oil,76.1,10.4
1955,359,Olivetti Underwood,76,1.2
1955,360,Certainteed,75.8,5.3
1955,361,National Container,75.6,3.5
1955,362,Lukens Steel,75,2
1955,363,American Bosch Arma,74.4,2.6
1955,364,PepsiCo,74.2,6.2
1955,365,Stanley Works,73.8,3.9
1955,366,New York Shipbuilding,73.8,2.4
1955,367,Glen Alden,73.5,0.2
1955,368,Outboard Marine,73.4,5.5
1955,369,Hines (Edward) Lumber,73.3,3.7
1955,370,Shoe Corp. of America,73.2,2.3
1955,371,Standard Coil Products,72.9,2.9
1955,372,Norris-Thermador,72.6,2.9
1955,373,American Chain & Cable,72.2,3.5
1955,374,Carborundum,71.9,3.3
1955,375,Interlake,71.8,3.7
1955,376,Riegel Textile,71,1.3
1955,377,Todd Shipyards,70.4,0.3
1955,378,Cleveland-Cliffs,70.4,7.1
1955,379,Minnesota & Ontario Paper,70.1,6.1
1955,380,McGraw-Hill,70,5.9
1955,381,Pocahontas Fuel,69.5,1.7
1955,382,Granite City Steel,69.3,4
1955,383,Remington Arms,69,7.5
1955,384,Bigelow-Sanford,68.2,0.1
1955,385,H.K. Porter,68.1,3.2
1955,386,Bliss (E.W.),68,3.3
1955,387,Falstaff Brewing,67.8,3
1955,388,I-T-E Imperial,67.7,1.6
1955,389,Canada Dry,67.4,2.4
1955,390,American Optical,67.3,2.2
1955,391,American Agricultural Chemical,67.2,4.6
1955,392,Brown Co.,67,3.4
1955,393,Raybestos-Manhattan,66.8,2.8
1955,394,Norton Simon,66.7,1.6
1955,395,Hartmarx,66.6,1.2
1955,396,Savannah Sugar Refining,66.6,1.6
1955,397,Bucyrus-Erie,66,4.5
1955,398,Industrial Rayon,65.9,7.4
1955,399,Handy & Harman,65.8,0.6
1955,400,AM International,65.4,4.9
1955,401,Richardson-Vicks,65.4,5.9
1955,402,US Pharmaceuticals,65.4,9.3
1955,403,Interlake Iron,65.2,3.1
1955,404,Solar Aircraft,65.1,2
1955,405,Tennessee Corp.,64.9,6.5
1955,406,Crowell-Collier Publishing,64.8,-2.4
1955,407,"American Zinc, Lead & Smelting",64.5,1.8
1955,408,Georgia-Pacific,64.3,1.8
1955,409,International Silver,64.1,3.2
1955,410,Niles-Bement-Pond,63.6,4.3
1955,411,Stromberg-Carlson,63.5,2
1955,412,Houdaille Industries,63.1,1.2
1955,413,Magnavox,63,2.1
1955,414,Joy Technologies,62.8,3.6
1955,415,Joslyn Manufacturing & Supply,62.7,2.3
1955,416,Kroehler Manufacturing,62.7,2.3
1955,417,Joy Global,62.5,2.6
1955,418,Daystrom,62.5,1.5
1955,419,Bristol-Myers Squibb,62.4,3.6
1955,420,Celotex,62.3,3.2
1955,421,Lees (James) & Sons,62.2,2.8
1955,422,Calumet & Hecia,61.4,2.2
1955,423,Burrus Mills,61,1.2
1955,424,Bibb Manufacturing,60.8,1.1
1955,425,U.S. Industries,60.6,1.6
1955,426,Cuban Atlantic Sugar,60.5,2.7
1955,427,Dole,60.1,1.9
1955,428,Elgin National Watch,60.1,1.6
1955,429,Lehigh Portland Cement,59.7,8
1955,430,American Enka,59.7,5
1955,431,Ekco Products,59.7,4.6
1955,432,LTV,59.2,2.9
1955,433,Clevite,59.2,2.7
1955,434,Cummins,59.2,2.9
1955,435,Ideal Basic Industries,59,11.1
1955,436,Robertshaw Controls,58.2,3.7
1955,437,American Forest Products,58.2,1.6
1955,438,Pennwalt Corp,58.1,3.4
1955,439,United Engineering & Foundry,58.1,3.4
1955,440,Atlas Powder,57.6,2.6
1955,441,Harbison-Walker Refractories,57.5,4.5
1955,442,Lily-Tulip Cup,57.4,4.7
1955,443,Freeport Sulphur,57.3,10.1
1955,444,Gould-National Batteries,57.2,2.7
1955,445,Mohasco,57,0.8
1955,446,Times Mirror,56.7,1.9
1955,447,National Automotive Fibers,56.7,-0.5
1955,448,Stanley Home Products,56.6,3.1
1955,449,Continental Foundry & Machine,56.6,3.5
1955,450,Dayco,55.9,1.2
1955,451,Square D,55.9,4.7
1955,452,Publicker Industries,55.5,2.3
1955,453,Armstrong Rubber,55.4,1.7
1955,454,Godchaux Sugars,55.3,0.5
1955,455,Avon Products,55.1,4.9
1955,456,Carey (Philip) Manufacturing,54.8,2.5
1955,457,Anderson-Prichard Oil,54.7,3.3
1955,458,Midland-Ross,54.6,2.7
1955,459,P.R. Mallory,54.6,1.1
1955,460,Consolidated Papers,54.4,4.5
1955,461,Oxford Paper,54.2,3.4
1955,462,Lear,54.2,2.2
1955,463,Cutler-Hammer,54.2,4.1
1955,464,Sutherland Paper,54,3.9
1955,465,Gilfillan Bros.,54,N.A.
1955,466,USM,53.9,8
1955,467,Bates Manufacturing,53.9,1.8
1955,468,Motor Wheel,53.9,1.7
1955,469,Reeves Brothers,53.9,1.1
1955,470,Congoleum,53.8,1.7
1955,471,Harshaw Chemical,53.6,1.6
1955,472,Young (L.A.) Spring & Wire,53.5,1.3
1955,473,Barium Steel,53.5,-0.4
1955,474,Arvin Industries,53.4,2.2
1955,475,Climax Molybdenum,53.2,15.6
1955,476,Erwin Mills,53.1,-0.9
1955,477,S & W Fine Foods,53.1,0.5
1955,478,Columbian Carbon,52.9,4.6
1955,479,South Penn Oil,52.6,5.1
1955,480,National Homes,52.5,2.4
1955,481,Crown Central,52.4,1.4
1955,482,Udylite,51.9,0.8
1955,483,Bird & Son,51.7,1.6
1955,484,Detroit Steel,51.7,1.2
1955,485,Mullins Manufacturing,51.7,2.3
1955,486,Commercial Solvents,51.6,2.7
1955,487,Fuller Brush,51.5,2.3
1955,488,Liquid Carbonic,51.4,2.8
1955,489,Consolidated Cigar,51,1.8
1955,490,Langendorf United Bakeries,50.7,0.9
1955,491,Truax-Traer Coal,50.5,2.5
1955,492,Mansfield Tire & Rubber,50.4,0.9
1955,493,Blue Bell,50.3,1.7
1955,494,Warner-Lambert,50.3,4.3
1955,495,Trane,50.2,3.4
1955,496,Signal Oil Gas,50.2,9.3
1955,497,Bullard,50.2,4.8
1955,498,Cuban-American Sugar,50.1,0.7
1955,499,Goodall-Sanford,49.7,-2.7
1955,500,Copperweld Steel,49.7,0.9
1956,1,General Motors,12443.3,1189.5
1956,2,Exxon Mobil,6272.4,709.3
1956,3,Ford Motor,5594,437
1956,4,U.S. Steel,4097.7,370.1
1956,5,Chrysler,3466.2,100.1
1956,6,General Electric,3095.4,200.9
1956,7,Esmark,2404.1,22.9
1956,8,Bethlehem Steel,2096.6,180.2
1956,9,Armour,1967.7,10.1
1956,10,DuPont,1909.2,431.6
1956,11,Gulf Oil,1895.7,218.1
1956,12,AT&T Technologies,1853.3,63.3
1956,13,Mobil,1839.3,207.4
1956,14,Amoco,1781.3,157.1
1956,15,Texaco,1767.3,262.7
1956,16,Shell Oil,1484.1,125.5
1956,17,CBS,1441,42.8
1956,18,Goodyear Tire & Rubber,1372.2,59.7
1956,19,ChevronTexaco,1277.8,231.1
1956,20,Kraft,1260.2,40.3
1956,21,Republic Steel,1188.6,86.3
1956,22,Union Carbide,1187.2,140.8
1956,23,Navistar International,1165.8,55.5
1956,24,Firestone Tire & Rubber,1114.9,55.4
1956,25,Sinclair Oil,1110.1,80.7
1956,26,RCA,1055.3,47.5
1956,27,Procter & Gamble,965.8,57.5
1956,28,Uniroyal,925.5,33.6
1956,29,Citgo Petroleum,923.2,49.3
1956,30,ConocoPhillips,910.8,95.2
1956,31,Douglas Aircraft,867.5,28.2
1956,32,Boeing,853.8,30.4
1956,33,Alcoa,845,87.6
1956,34,General Foods,824.8,31.7
1956,35,Rockwell Automation,816.7,32.3
1956,36,Borden Chemical,810.1,21.7
1956,37,International Paper,796.4,83.1
1956,38,Goodrich,755,46.7
1956,39,American Can,714.8,36
1956,40,Eastman Kodak,714.4,85.6
1956,41,United Technologies,697.9,31.1
1956,42,Jones & Laughlin Steel,696.5,50.1
1956,43,ARMCO,692.7,64.4
1956,44,Sperry,688,44
1956,45,General Dynamics,687.3,21.3
1956,46,Lockheed Martin,673.6,17.3
1956,47,Continental Group,666.3,24.2
1956,48,Sunoco,660.3,48.3
1956,49,AMAX,660.2,19.8
1956,50,Ryerson Tull,659.7,52.5
1956,51,Wilson,650.5,4.6
1956,52,Anaconda,636.2,65.3
1956,53,Honeywell Intl.,628.5,52.1
1956,54,National Intergroup,622,48.3
1956,55,Youngstown Sheet & Tube,617.4,41.7
1956,56,Fortune Brands,585.9,51.7
1956,57,PPG Industries,582,61.4
1956,58,Bendix,567.2,25.9
1956,59,Intl. Business Machines,563.5,55.9
1956,60,Olin,560.5,44.6
1956,61,BorgWarner,552.2,41.1
1956,62,Kennecott,548.3,125.5
1956,63,Republic Aviation,547.4,14.7
1956,64,Asarco,540.5,33.5
1956,65,Allis-Chalmers,535.1,24.8
1956,66,NL Industries,533.7,47.9
1956,67,Conoco,528.9,46.4
1956,68,Caterpillar,523.9,34.8
1956,69,Monsanto,522.3,42.2
1956,70,Burlington Industries Equity,515.2,16.4
1956,71,General Mills,513.7,12.4
1956,72,Atlantic Richfield,513,39.5
1956,73,Curtiss-Wright,508.7,35.1
1956,74,Pure Oil,485.1,35.2
1956,75,Studebaker,480,-29.7
1956,76,Tidewater Oil,478.8,37.8
1956,77,Dow Chemical,470.7,37.4
1956,78,Nabisco Group Holdings,466.3,53.3
1956,79,American Cyanamid,451.1,38.7
1956,80,ITT Industries,448.4,23.1
1956,81,American Motors,441.1,-7
1956,82,Sealed Air,427.1,18.8
1956,83,Crown Zellerbach,414.1,44.1
1956,84,Standard Brands,400.7,10.6
1956,85,Nabisco Brands,389.6,18.3
1956,86,Foremost Dairies,388.1,8.7
1956,87,Ralston Purina,385.5,12.6
1956,88,Reynolds Metals,384.9,34.3
1956,89,Campbell Soup,377.6,29.1
1956,90,Philco,373.4,8.4
1956,91,Owens-Illinois,370.3,27
1956,92,Merritt-Chapman & Scott,360.3,10.7
1956,93,Unocal,359.5,30.5
1956,94,Singer,354.1,18.1
1956,95,Phelps Dodge,353.4,72.3
1956,96,United Merchants & Mfrs.,341.8,15.5
1956,97,Pillsbury,341.1,5.3
1956,98,BP America,339.7,23
1956,99,American Standard,339.6,22.6
1956,100,Deere,339.6,28.3
1956,101,Hormel Foods,336.6,3.8
1956,102,Morrell (John),336.1,2.7
1956,103,Hygrade Food Products,334.3,2.3
1956,104,Crane,331.4,9
1956,105,Pullman,330.4,9.6
1956,106,Carnation,329.2,8.1
1956,107,Amstar,325.9,8.3
1956,108,J.P. Stevens,321.1,8.5
1956,109,Weyerhaeuser,316.7,49.2
1956,110,Otis Elevator,316.6,13.8
1956,111,Cudahy,308.1,2.7
1956,112,Sylvania Electric Products,307.4,13.8
1956,113,NCR,301.2,15.4
1956,114,Avco,299.3,0.8
1956,115,Sunray DX Oil,298.4,39.5
1956,116,Liggett Group,296.1,26.7
1956,117,Electric Autolite,296,10.1
1956,118,GenCorp,295.7,9.7
1956,119,Bestfoods,290.2,20.7
1956,120,Beatrice,287.4,5.6
1956,121,TRW,286.2,11.3
1956,122,Colgate-Palmolive,285.6,14
1956,123,Manville,284.7,23.5
1956,124,Northrop Grumman,283.4,11.7
1956,125,3M,281.9,34.7
1956,126,Aeroquip-Vickers,281.5,36
1956,127,Whirlpool,280.4,14.1
1956,128,Quaker Oats,276.4,10.1
1956,129,Rockwell-Standard,271.9,17.3
1956,130,Martin Marietta,271.9,13.3
1956,131,Kaisertech,268.1,28.6
1956,132,FMC,264.6,14.9
1956,133,Furniture Brands Intl.,262.4,10.4
1956,134,"Libby, McNeill & Libby",261.9,5.4
1956,135,National Supply,259.8,11.4
1956,136,American Viscose,259.4,24.7
1956,137,USG,258.7,40.4
1956,138,CF&I Steel,257.5,10.9
1956,139,Marathon Oil,257.2,41.3
1956,140,St. Regis,257.1,19
1956,141,Allegheny International,255.2,15
1956,142,Rath Packing,254,2.6
1956,143,Coca-Cola,252.9,27.5
1956,144,Armstrong Holdings,249.4,14.5
1956,145,Wheeling Pittsburgh,246.7,17.3
1956,146,Scott Paper,246.7,21.3
1956,147,Ashland,245.9,10.1
1956,148,Honeywell,244.5,19.3
1956,149,Richfield Oil,244.4,29.6
1956,150,Continental Baking,244,7.7
1956,151,Revere Copper & Brass,242.7,11.3
1956,152,Crucible Steel,237.7,13.2
1956,153,A.O. Smith,237.1,6
1956,154,Wyeth,234.5,20.5
1956,155,H.J. Heinz,234.2,8.8
1956,156,Del Monte Foods,233.8,8.9
1956,157,Babcock & Wilcox,233.3,13.5
1956,158,Skelly Oil,231.6,32.2
1956,159,J.E. Seagram,228.9,22.3
1956,160,Koppers,228.5,10.4
1956,161,M. Lowenstein,228.2,10.8
1956,162,Motorola,226.7,8.5
1956,163,Hercules,226.7,19
1956,164,Kimberly-Clark,224,20.3
1956,165,Fruehauf,223.5,8.7
1956,166,Johnson & Johnson,222.9,11.3
1956,167,Archer Daniels Midland,221,5.8
1956,168,Oscar Mayer,220.2,4.9
1956,169,Eaton,218.1,13.3
1956,170,Unisys,217.8,12.2
1956,171,Glidden,217,8.4
1956,172,Container Corp. of America,215.6,15.7
1956,173,Grumman,213.4,9.8
1956,174,Arden Farms,212.3,2.1
